LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,LFPR,25_64,PC_AGE,A,1994,68.1721754803111,
BEL,LFPR,25_64,PC_AGE,A,1995,68.857778469051,
BEL,LFPR,25_64,PC_AGE,A,1996,69.1498702248458,
BEL,LFPR,25_64,PC_AGE,A,1997,69.7447791194742,
BEL,LFPR,25_64,PC_AGE,A,1998,70.2838265384505,
BEL,LFPR,25_64,PC_AGE,A,1999,71.7952877980732,
BEL,LFPR,25_64,PC_AGE,A,2000,71.8985621561741,
BEL,LFPR,25_64,PC_AGE,A,2001,70.6532582537798,
BEL,LFPR,25_64,PC_AGE,A,2002,71.3525197987919,
BEL,LFPR,25_64,PC_AGE,A,2003,71.6829422913934,
BEL,LFPR,25_64,PC_AGE,A,2004,72.8064078459912,
BEL,LFPR,25_64,PC_AGE,A,2005,73.902502399017,
BEL,LFPR,25_64,PC_AGE,A,2006,73.6541309399802,
BEL,LFPR,25_64,PC_AGE,A,2007,74.5339263218769,
BEL,LFPR,25_64,PC_AGE,A,2008,74.6800089574364,
BEL,LFPR,25_64,PC_AGE,A,2009,74.6763294733152,
BEL,LFPR,25_64,PC_AGE,A,2010,75.5508763793349,
BEL,LFPR,25_64,PC_AGE,A,2011,74.5093701541704,
BEL,LFPR,25_64,PC_AGE,A,2012,74.883420774446,
BEL,LFPR,25_64,PC_AGE,A,2013,75.6986926356036,
BEL,LFPR,25_64,PC_AGE,A,2014,76.0589312147241,
BEL,LFPR,25_64,PC_AGE,A,2015,75.8819421473347,
BEL,LFPR,25_64,PC_AGE,A,2016,76.1814967015843,
BEL,LFPR,25_64,PC_AGE,A,2017,76.6312851018066,
BEL,LFPR,25_64,PC_AGE,A,2018,76.976596387054,
BEL,LFPR,25_64,PC_AGE,A,2019,77.1921095174333,
BEL,LFPR,25_64,PC_AGE,A,2020,77.2024250649136,
CAN,LFPR,25_64,PC_AGE,A,1976,69.8277644922632,
CAN,LFPR,25_64,PC_AGE,A,1977,70.1593035775844,
CAN,LFPR,25_64,PC_AGE,A,1978,71.2831991762244,
CAN,LFPR,25_64,PC_AGE,A,1979,72.161659631005,
CAN,LFPR,25_64,PC_AGE,A,1980,72.8334444370291,
CAN,LFPR,25_64,PC_AGE,A,1981,73.9084318247102,
CAN,LFPR,25_64,PC_AGE,A,1982,73.7424719988046,
CAN,LFPR,25_64,PC_AGE,A,1983,74.2732283968017,
CAN,LFPR,25_64,PC_AGE,A,1984,74.738944928355,
CAN,LFPR,25_64,PC_AGE,A,1985,75.6437136166884,
CAN,LFPR,25_64,PC_AGE,A,1986,76.2500088476848,
CAN,LFPR,25_64,PC_AGE,A,1987,76.851002277462,
CAN,LFPR,25_64,PC_AGE,A,1988,77.5173555487223,
CAN,LFPR,25_64,PC_AGE,A,1989,78.1229199811866,
CAN,LFPR,25_64,PC_AGE,A,1990,78.4747665207577,
CAN,LFPR,25_64,PC_AGE,A,1991,78.3271356980631,
CAN,LFPR,25_64,PC_AGE,A,1992,77.7032205897759,
CAN,LFPR,25_64,PC_AGE,A,1993,77.7950078724526,
CAN,LFPR,25_64,PC_AGE,A,1994,77.6711279716003,
CAN,LFPR,25_64,PC_AGE,A,1995,77.546494477699,
CAN,LFPR,25_64,PC_AGE,A,1996,77.6348932612686,
CAN,LFPR,25_64,PC_AGE,A,1997,78.1881931573877,
CAN,LFPR,25_64,PC_AGE,A,1998,78.5385674729787,
CAN,LFPR,25_64,PC_AGE,A,1999,78.8516072755375,
CAN,LFPR,25_64,PC_AGE,A,2000,79.0582755070319,
CAN,LFPR,25_64,PC_AGE,A,2001,79.2169616472258,
CAN,LFPR,25_64,PC_AGE,A,2002,80.0677465057884,
CAN,LFPR,25_64,PC_AGE,A,2003,80.8151076340921,
CAN,LFPR,25_64,PC_AGE,A,2004,80.8956529338376,
CAN,LFPR,25_64,PC_AGE,A,2005,80.6351009790443,
CAN,LFPR,25_64,PC_AGE,A,2006,80.3060861997584,
CAN,LFPR,25_64,PC_AGE,A,2007,80.6631283075809,
CAN,LFPR,25_64,PC_AGE,A,2008,80.7467915322801,
CAN,LFPR,25_64,PC_AGE,A,2009,80.678357774975,
CAN,LFPR,25_64,PC_AGE,A,2010,80.6454206126,
CAN,LFPR,25_64,PC_AGE,A,2011,80.6027558093511,
CAN,LFPR,25_64,PC_AGE,A,2012,80.8463784203871,
CAN,LFPR,25_64,PC_AGE,A,2013,81.0123321118691,
CAN,LFPR,25_64,PC_AGE,A,2014,80.5337568343459,
CAN,LFPR,25_64,PC_AGE,A,2015,80.7443794714641,
CAN,LFPR,25_64,PC_AGE,A,2016,80.9473791368312,
CAN,LFPR,25_64,PC_AGE,A,2017,81.2660773570792,
CAN,LFPR,25_64,PC_AGE,A,2018,81.3377110575745,
CAN,LFPR,25_64,PC_AGE,A,2019,81.8335519817354,
CAN,LFPR,25_64,PC_AGE,A,2020,80.8918059426743,
CZE,LFPR,25_64,PC_AGE,A,1993,78.5827780048436,
CZE,LFPR,25_64,PC_AGE,A,1994,78.8554389262886,
CZE,LFPR,25_64,PC_AGE,A,1995,79.3365390266752,
CZE,LFPR,25_64,PC_AGE,A,1996,79.4217083360635,
CZE,LFPR,25_64,PC_AGE,A,1997,79.641749663842,
CZE,LFPR,25_64,PC_AGE,A,1998,79.3012962730985,
CZE,LFPR,25_64,PC_AGE,A,1999,79.214860104769,
CZE,LFPR,25_64,PC_AGE,A,2000,78.6516124383085,
CZE,LFPR,25_64,PC_AGE,A,2001,78.521348317639,
CZE,LFPR,25_64,PC_AGE,A,2002,78.6578201256533,
CZE,LFPR,25_64,PC_AGE,A,2003,78.2664227277434,
CZE,LFPR,25_64,PC_AGE,A,2004,78.1914984385932,
CZE,LFPR,25_64,PC_AGE,A,2005,78.7824469434345,
CZE,LFPR,25_64,PC_AGE,A,2006,78.6502902781973,
CZE,LFPR,25_64,PC_AGE,A,2007,78.3119778364573,
CZE,LFPR,25_64,PC_AGE,A,2008,78.2037546768637,
CZE,LFPR,25_64,PC_AGE,A,2009,78.4494349784607,
CZE,LFPR,25_64,PC_AGE,A,2010,78.5177028851574,
CZE,LFPR,25_64,PC_AGE,A,2011,78.8427228498094,
CZE,LFPR,25_64,PC_AGE,A,2012,79.5523619405766,
CZE,LFPR,25_64,PC_AGE,A,2013,80.7760974665044,
CZE,LFPR,25_64,PC_AGE,A,2014,81.1628323218845,
CZE,LFPR,25_64,PC_AGE,A,2015,81.4655971152719,
CZE,LFPR,25_64,PC_AGE,A,2016,82.4660824252227,
CZE,LFPR,25_64,PC_AGE,A,2017,83.3489664012165,
CZE,LFPR,25_64,PC_AGE,A,2018,84.2060130428119,
CZE,LFPR,25_64,PC_AGE,A,2019,84.400891772792,
CZE,LFPR,25_64,PC_AGE,A,2020,84.4437525550541,
DNK,LFPR,25_64,PC_AGE,A,1983,81.8225492645044,
DNK,LFPR,25_64,PC_AGE,A,1984,80.8989908108762,
DNK,LFPR,25_64,PC_AGE,A,1985,81.7463311611738,
DNK,LFPR,25_64,PC_AGE,A,1986,83.0191882818055,
DNK,LFPR,25_64,PC_AGE,A,1987,82.7243032719048,
DNK,LFPR,25_64,PC_AGE,A,1988,83.9326029913846,
DNK,LFPR,25_64,PC_AGE,A,1989,83.9582497747967,
DNK,LFPR,25_64,PC_AGE,A,1990,84.8925056652767,
DNK,LFPR,25_64,PC_AGE,A,1991,84.6976180944456,
DNK,LFPR,25_64,PC_AGE,A,1992,84.5941553803908,
DNK,LFPR,25_64,PC_AGE,A,1993,83.9020155759516,
DNK,LFPR,25_64,PC_AGE,A,1994,81.2521227403228,
DNK,LFPR,25_64,PC_AGE,A,1995,81.1018864880599,
DNK,LFPR,25_64,PC_AGE,A,1996,80.8296283022862,
DNK,LFPR,25_64,PC_AGE,A,1997,81.0654353984497,
DNK,LFPR,25_64,PC_AGE,A,1998,81.0795826395441,
DNK,LFPR,25_64,PC_AGE,A,1999,82.1500512171118,
DNK,LFPR,25_64,PC_AGE,A,2000,81.8591015700051,
DNK,LFPR,25_64,PC_AGE,A,2001,82.1723584986367,
DNK,LFPR,25_64,PC_AGE,A,2002,81.70696131601,
DNK,LFPR,25_64,PC_AGE,A,2003,82.1792821070736,
DNK,LFPR,25_64,PC_AGE,A,2004,82.5420831265551,
DNK,LFPR,25_64,PC_AGE,A,2005,82.0908412173832,
DNK,LFPR,25_64,PC_AGE,A,2006,82.6761082416704,
DNK,LFPR,25_64,PC_AGE,A,2007,81.958468435485,
DNK,LFPR,25_64,PC_AGE,A,2008,81.3456198691,
DNK,LFPR,25_64,PC_AGE,A,2009,81.0552941824896,
DNK,LFPR,25_64,PC_AGE,A,2010,81.1571308332459,
DNK,LFPR,25_64,PC_AGE,A,2011,81.148073136029,
DNK,LFPR,25_64,PC_AGE,A,2012,81.0616734479676,
DNK,LFPR,25_64,PC_AGE,A,2013,81.0574509685933,
DNK,LFPR,25_64,PC_AGE,A,2014,81.0762514510819,
DNK,LFPR,25_64,PC_AGE,A,2015,81.5333511764872,
DNK,LFPR,25_64,PC_AGE,A,2016,81.9019453022916,
DNK,LFPR,25_64,PC_AGE,A,2017,82.2360625740324,
DNK,LFPR,25_64,PC_AGE,A,2018,82.6925678929047,
DNK,LFPR,25_64,PC_AGE,A,2019,83.4070662781624,
DNK,LFPR,25_64,PC_AGE,A,2020,83.4164281552264,
FIN,LFPR,25_64,PC_AGE,A,1963,77.2169811320755,
FIN,LFPR,25_64,PC_AGE,A,1964,77.9915532613796,
FIN,LFPR,25_64,PC_AGE,A,1965,77.8350515463918,
FIN,LFPR,25_64,PC_AGE,A,1966,77.9226828132278,
